State,Year,Data.Totals.Violent.All
Delaware,1989,3745
Delaware,1990,4365
Delaware,1991,4857
Delaware,1992,4280
Delaware,1993,4801
Delaware,1994,4549
Delaware,1995,5198
Delaware,1996,4845
Delaware,1997,5753
Delaware,1998,5672
Delaware,1999,5534
Delaware,2000,5363
Delaware,2001,4868
Delaware,2002,4836
Delaware,2003,5525
Delaware,2004,5105
Delaware,2005,5332
Delaware,2006,5983
Delaware,2007,6100
Delaware,2008,6187
Delaware,2009,5713
Delaware,2010,5608
Delaware,2011,5144
Delaware,2012,5020
Delaware,2013,4549
Delaware,2014,4576
Delaware,2015,4720
Delaware,2016,4844
Delaware,2017,4361
Delaware,2018,4097
Delaware,2019,4115
District of Columbia,1960,4230
District of Columbia,1961,4491
District of Columbia,1962,4750
District of Columbia,1963,4740
District of Columbia,1964,5112
District of Columbia,1965,5804
District of Columbia,1966,7155
District of Columbia,1967,9252
District of Columbia,1968,12180
District of Columbia,1969,17038
District of Columbia,1970,16846
District of Columbia,1971,16084
District of Columbia,1972,12607
District of Columbia,1973,11626
District of Columbia,1974,11590
District of Columbia,1975,12704
District of Columbia,1976,10399
District of Columbia,1977,9843
District of Columbia,1978,9515
District of Columbia,1979,10553
District of Columbia,1980,12772
District of Columbia,1981,14468
District of Columbia,1982,13397
District of Columbia,1983,11933
District of Columbia,1984,10725
District of Columbia,1985,10171
District of Columbia,1986,9423
District of Columbia,1987,10016
District of Columbia,1988,11914
District of Columbia,1989,12937
District of Columbia,1990,14919
District of Columbia,1991,14671
District of Columbia,1992,16685
District of Columbia,1993,16888
District of Columbia,1994,15177
District of Columbia,1995,14744
District of Columbia,1996,13411
District of Columbia,1997,10708
District of Columbia,1998,8988
District of Columbia,1999,8448
District of Columbia,2000,8626
District of Columbia,2001,9195
District of Columbia,2002,9322
District of Columbia,2003,9061
District of Columbia,2004,7590
District of Columbia,2005,8032
District of Columbia,2006,8772
District of Columbia,2007,8325
District of Columbia,2008,8509
District of Columbia,2009,8089
District of Columbia,2010,8026
District of Columbia,2011,7433
District of Columbia,2012,7864
District of Columbia,2013,8406
District of Columbia,2014,8199
District of Columbia,2015,8531
District of Columbia,2016,8214
District of Columbia,2017,6974
District of Columbia,2018,6996
District of Columbia,2019,7403
Florida,1960,11061
Florida,1961,11376
Florida,1962,10489
Florida,1963,12150
Florida,1964,16539
Florida,1965,17386
Florida,1966,20069
Florida,1967,23399
Florida,1968,27913
Florida,1969,29411
Florida,1970,33824
Florida,1971,38575
Florida,1972,40252
Florida,1973,46419
Florida,1974,54821
Florida,1975,57540
Florida,1976,54597
Florida,1977,58052
Florida,1978,65792
Florida,1979,73881
Florida,1980,94095
Florida,1981,98109
Florida,1982,93411
Florida,1983,88292
Florida,1984,95270
Florida,1985,106971
Florida,1986,121013
Florida,1987,123168
Florida,1988,138343
Florida,1989,140575
Florida,1990,160990
Florida,1991,157243
Florida,1992,162827
Florida,1993,164975
Florida,1994,160016
Florida,1995,151711
Florida,1996,151350
Florida,1997,149996
Florida,1998,140016
Florida,1999,129044
Florida,2000,129777
Florida,2001,130713
Florida,2002,128721
Florida,2003,124280
Florida,2004,123754
Florida,2005,125957
Florida,2006,129602
Florida,2007,131878
Florida,2008,126256
Florida,2009,113541
Florida,2010,101969
Florida,2011,98198
Florida,2012,94087
Florida,2013,91986
Florida,2014,107521
Florida,2015,93626
Florida,2016,88700
Florida,2017,85625
Florida,2018,81980
Florida,2019,81270
Georgia,1960,6262
Georgia,1961,6269
Georgia,1962,6200
Georgia,1963,7019
Georgia,1964,8285
Georgia,1965,8777
Georgia,1966,9066
Georgia,1967,8536
Georgia,1968,9903
Georgia,1969,11235
Georgia,1970,13976
Georgia,1971,15898
Georgia,1972,17823
Georgia,1973,19738
Georgia,1974,21587
Georgia,1975,22608
Georgia,1976,21030
Georgia,1977,22203
Georgia,1978,24545
Georgia,1979,28594
Georgia,1980,29993
Georgia,1981,30527
Georgia,1982,26963
Georgia,1983,26179
Georgia,1984,27935
Georgia,1985,30311
Georgia,1986,35869
Georgia,1987,35868
Georgia,1988,42589
Georgia,1989,47357
Georgia,1990,48996
Georgia,1991,48894
Georgia,1992,49496
Georgia,1993,50019
Georgia,1994,47103
Georgia,1995,47317
Georgia,1996,46966
Georgia,1997,45408
Georgia,1998,43762
Georgia,1999,41585
Georgia,2000,41319
Georgia,2001,41671
Georgia,2002,39271
Georgia,2003,39435
Georgia,2004,40217
Georgia,2005,40725
Georgia,2006,44754
Georgia,2007,46917
Georgia,2008,47353
Georgia,2009,42073
Georgia,2010,39068
Georgia,2011,36762
Georgia,2012,37591
Georgia,2013,36541
Georgia,2014,38097
Georgia,2015,38643
Georgia,2016,40990
Georgia,2017,37258
Georgia,2018,34355
Georgia,2019,36170
Hawaii,1960,138
Hawaii,1961,161
Hawaii,1962,256
Hawaii,1963,215
Hawaii,1964,575
Hawaii,1965,491
Hawaii,1966,598
Hawaii,1967,591
Hawaii,1968,662
Hawaii,1969,684
Hawaii,1970,938
Hawaii,1971,1830
Hawaii,1972,1258
Hawaii,1973,1295
Hawaii,1974,1762
Hawaii,1975,1889
Hawaii,1976,2034
Hawaii,1977,2012
Hawaii,1978,2423
Hawaii,1979,2651
Hawaii,1980,2889
Hawaii,1981,2424
Hawaii,1982,2542
Hawaii,1983,2579
Hawaii,1984,2409
Hawaii,1985,2313
Hawaii,1986,2604
Hawaii,1987,2851
Hawaii,1988,2810
Hawaii,1989,3004
Hawaii,1990,3113
Hawaii,1991,2744
Hawaii,1992,2998
Hawaii,1993,3061
Hawaii,1994,3091
Hawaii,1995,3509
Hawaii,1996,3322
Hawaii,1997,3299
Hawaii,1998,2946
Hawaii,1999,2785
Hawaii,2000,2954
Hawaii,2001,3117
Hawaii,2002,3262
Hawaii,2003,3400
Hawaii,2004,3213
Hawaii,2005,3253
Hawaii,2006,3608
Hawaii,2007,3544
Hawaii,2008,3510
Hawaii,2009,3550
Hawaii,2010,3603
Hawaii,2011,3465
Hawaii,2012,3330
Hawaii,2013,3533
Hawaii,2014,3680
Hawaii,2015,4201
Hawaii,2016,4417
Hawaii,2017,3577
Hawaii,2018,3532
Hawaii,2019,4042
Idaho,1960,255
Idaho,1961,222
Idaho,1962,234
Idaho,1963,362
Idaho,1964,537
Idaho,1965,493
Idaho,1966,461
Idaho,1967,478
Idaho,1968,518
Idaho,1969,806
Idaho,1970,879
Idaho,1971,917
Idaho,1972,1085
Idaho,1973,1264
Idaho,1974,1465
Idaho,1975,1670
Idaho,1976,1884
Idaho,1977,2030
Idaho,1978,2076
Idaho,1979,2613
Idaho,1980,2957
Idaho,1981,2717
Idaho,1982,2501
Idaho,1983,2361
Idaho,1984,2355
Idaho,1985,2360
Idaho,1986,2232
Idaho,1987,2138
Idaho,1988,2345
Idaho,1989,2582
Idaho,1990,2776
Idaho,1991,3016
Idaho,1992,3003
Idaho,1993,3097
Idaho,1994,3238
Idaho,1995,3745
Idaho,1996,3177
Idaho,1997,3107
Idaho,1998,3468
Idaho,1999,3066
Idaho,2000,3267
Idaho,2001,3211
Idaho,2002,3419
Idaho,2003,3362
Idaho,2004,3452
Idaho,2005,3670
Idaho,2006,3666
Idaho,2007,3841
Idaho,2008,3680
Idaho,2009,3805
Idaho,2010,3464
Idaho,2011,3202
Idaho,2012,3318
Idaho,2013,3498
Idaho,2014,3468
Idaho,2015,3568
Idaho,2016,3876
Idaho,2017,3888
Idaho,2018,3983
Idaho,2019,4000
Illinois,1960,36802
Illinois,1961,37156
Illinois,1962,38926
Illinois,1963,33627
Illinois,1964,36916
Illinois,1965,34345
Illinois,1966,39116
Illinois,1967,42956
Illinois,1968,44776
Illinois,1969,49543
Illinois,1970,52006
Illinois,1971,53436
Illinois,1972,57162
Illinois,1973,62457
Illinois,1974,69806
Illinois,1975,74699
Illinois,1976,70266
Illinois,1977,70910
Illinois,1978,76084
Illinois,1979,83540
Illinois,1980,91753
Illinois,1981,90781
Illinois,1982,88644
Illinois,1983,83629
Illinois,1984,83441
Illinois,1985,82448
Illinois,1986,93454
Illinois,1987,92216
Illinois,1988,93557
Illinois,1989,98611
Illinois,1990,110575
Illinois,1991,119955
Illinois,1992,113664
Illinois,1993,112260
Illinois,1994,112928
Illinois,1995,117836
Illinois,1996,105482
Illinois,1997,102476
Illinois,1998,97291
Illinois,1999,83621
Illinois,2000,81196
Illinois,2001,79270
Illinois,2002,75759
Illinois,2003,70376
Illinois,2004,69365
Illinois,2005,70496
Illinois,2006,69498
Illinois,2007,68528
Illinois,2008,67780
Illinois,2009,64185
Illinois,2010,57132
Illinois,2011,54523
Illinois,2012,53403
Illinois,2013,48974
Illinois,2014,47663
Illinois,2015,49354
Illinois,2016,55854
Illinois,2017,56180
Illinois,2018,51490
Illinois,2019,51561
Indiana,1960,3945
Indiana,1961,4044
Indiana,1962,4191
Indiana,1963,4819
Indiana,1964,6564
Indiana,1965,6695
Indiana,1966,7196
Indiana,1967,8143
Indiana,1968,10229
Indiana,1969,10141
Indiana,1970,12184
Indiana,1971,13031
Indiana,1972,12968
Indiana,1973,13696
Indiana,1974,15631
Indiana,1975,17677
Indiana,1976,16721
Indiana,1977,16553
Indiana,1978,17383
Indiana,1979,18254
Indiana,1980,20633
Indiana,1981,18672
Indiana,1982,16444
Indiana,1983,15547
Indiana,1984,16781
Indiana,1985,17014
Indiana,1986,16937
Indiana,1987,18169
Indiana,1988,21187
Indiana,1989,22735
Indiana,1990,26275
Indiana,1991,28349
Indiana,1992,28791
Indiana,1993,27941
Indiana,1994,30205
Indiana,1995,30451
Indiana,1996,31366
Indiana,1997,30179
Indiana,1998,25423
Indiana,1999,22261
Indiana,2000,21230
Indiana,2001,22734
Indiana,2002,22001
Indiana,2003,21842
Indiana,2004,20294
Indiana,2005,20302
Indiana,2006,20303
Indiana,2007,21310
Indiana,2008,21525
Indiana,2009,21455
Indiana,2010,20983
Indiana,2011,21619
Indiana,2012,22602
Indiana,2013,23487
Indiana,2014,24099
Indiana,2015,25653
Indiana,2016,26845
Indiana,2017,26598
Indiana,2018,25581
Indiana,2019,24966
Iowa,1960,656
Iowa,1961,643
Iowa,1962,559
Iowa,1963,629
Iowa,1964,1007
Iowa,1965,1067
Iowa,1966,1214
Iowa,1967,1608
Iowa,1968,1882
Iowa,1969,1918
Iowa,1970,2241
Iowa,1971,2822
Iowa,1972,2519
Iowa,1973,2970
Iowa,1974,3455
Iowa,1975,4039
Iowa,1976,3813
Iowa,1977,4145
Iowa,1978,4674
Iowa,1979,5259
Iowa,1980,5826
Iowa,1981,5915
Iowa,1982,5018
Iowa,1983,5262
Iowa,1984,5781
Iowa,1985,6106
Iowa,1986,6703
Iowa,1987,6553
Iowa,1988,7279
Iowa,1989,7563
Iowa,1990,8321
Iowa,1991,8477
Iowa,1992,7816
Iowa,1993,9159
Iowa,1994,8914
Iowa,1995,10071
Iowa,1996,7771
Iowa,1997,8841
Iowa,1998,8916
Iowa,1999,8034
Iowa,2000,7796
Iowa,2001,7865
Iowa,2002,8388
Iowa,2003,8175
Iowa,2004,8499
Iowa,2005,8697
Iowa,2006,8521
Iowa,2007,8970
Iowa,2008,8651
Iowa,2009,8485
Iowa,2010,8191
Iowa,2011,7883
Iowa,2012,8112
Iowa,2013,8388
Iowa,2014,8497
Iowa,2015,8936
Iowa,2016,9110
Iowa,2017,9230
Iowa,2018,7893
Iowa,2019,8410
Kansas,1960,1272
Kansas,1961,1282
Kansas,1962,1477
Kansas,1963,1831
Kansas,1964,2573
Kansas,1965,2392
Kansas,1966,2517
Kansas,1967,3248
Kansas,1968,3463
Kansas,1969,3873
Kansas,1970,4561
Kansas,1971,4843
Kansas,1972,4737
Kansas,1973,4956
Kansas,1974,6272
Kansas,1975,6307
Kansas,1976,6529
Kansas,1977,7206
Kansas,1978,7471
Kansas,1979,8376
Kansas,1980,9168
Kansas,1981,8796
Kansas,1982,8088
Kansas,1983,7919
Kansas,1984,8147
Kansas,1985,8716
Kansas,1986,9076
Kansas,1987,8932
Kansas,1988,9083
Kansas,1989,10073
Kansas,1990,11093
Kansas,1991,12465
Kansas,1992,12888
Kansas,1993,12564
Kansas,1994,11314
Kansas,1995,10792
Kansas,1996,10642
Kansas,1997,11151
Kansas,1998,10972
Kansas,1999,10159
Kansas,2000,10470
Kansas,2001,10909
Kansas,2002,10229
Kansas,2003,10831
Kansas,2004,10330
Kansas,2005,10701
Kansas,2006,11960
Kansas,2007,12730
Kansas,2008,11554
Kansas,2009,11460
Kansas,2010,10602
Kansas,2011,10209
Kansas,2012,10232
Kansas,2013,9838
Kansas,2014,10123
Kansas,2015,11353
Kansas,2016,11060
Kansas,2017,12030
Kansas,2018,12782
Kansas,2019,11968
Kentucky,1960,2957
Kentucky,1961,2907
Kentucky,1962,2963
Kentucky,1963,2849
Kentucky,1964,3486
Kentucky,1965,3463
Kentucky,1966,4191
Kentucky,1967,4484
Kentucky,1968,5317
Kentucky,1969,5745
Kentucky,1970,7157
Kentucky,1971,7717
Kentucky,1972,7446
Kentucky,1973,7356
Kentucky,1974,7857
Kentucky,1975,8967
Kentucky,1976,8987
Kentucky,1977,8077
Kentucky,1978,7807
Kentucky,1979,8748
Kentucky,1980,9711
Kentucky,1981,10599
Kentucky,1982,11550
Kentucky,1983,11967
Kentucky,1984,10342
Kentucky,1985,11384
Kentucky,1986,12467
Kentucky,1987,12589
Kentucky,1988,12284
Kentucky,1989,13302
Kentucky,1990,14386
Kentucky,1991,16262
Kentucky,1992,20107
Kentucky,1993,17530
Kentucky,1994,16991
Kentucky,1995,14079
Kentucky,1996,12448
Kentucky,1997,12386
Kentucky,1998,12909
Kentucky,1999,12212
Kentucky,2000,11903
Kentucky,2001,10510
Kentucky,2002,11101
Kentucky,2003,10232
Kentucky,2004,10152
Kentucky,2005,11134
Kentucky,2006,11361
Kentucky,2007,12329
Kentucky,2008,12690
Kentucky,2009,11000
Kentucky,2010,10604
Kentucky,2011,10465
Kentucky,2012,9752
Kentucky,2013,9222
Kentucky,2014,9340
Kentucky,2015,9676
Kentucky,2016,10308
Kentucky,2017,10056
Kentucky,2018,9467
Kentucky,2019,9701
Louisiana,1960,4990
Louisiana,1961,4508
Louisiana,1962,4570
Louisiana,1963,5798
Louisiana,1964,7140
Louisiana,1965,7178
Louisiana,1966,8689
Louisiana,1967,10071
Louisiana,1968,11742
Louisiana,1969,13492
Louisiana,1970,15063
Louisiana,1971,15208
Louisiana,1972,15712
Louisiana,1973,16020
Louisiana,1974,17794
Louisiana,1975,18137
Louisiana,1976,18161
Louisiana,1977,20577
Louisiana,1978,23197
Louisiana,1979,27229
Louisiana,1980,27926
Louisiana,1981,27478
Louisiana,1982,29185
Louisiana,1983,28444
Louisiana,1984,30251
Louisiana,1985,31108
Louisiana,1986,34128
Louisiana,1987,30916
Louisiana,1988,31711
Louisiana,1989,34257
Louisiana,1990,37914
Louisiana,1991,40438
Louisiana,1992,42209
Louisiana,1993,45600
Louisiana,1994,42369
Louisiana,1995,43741
Louisiana,1996,40426
Louisiana,1997,37248
Louisiana,1998,34057
Louisiana,1999,32033
Louisiana,2000,30440
Louisiana,2001,30678
Louisiana,2002,29690
Louisiana,2003,28622
